Hora EC,Hora EBP,Lat EC,Lon EC,Lat EBP,Lon EBP,Error (m)
15:22:19,15:22:22,-12.0717229,-77.0816476,-12.0717451666666,-77.0816254999999,3.450363345377207
15:23:01,15:23:32,-12.0718241,-77.0816821,-12.0717596666666,-77.0817316666666,8.96554573632263
15:24:19,15:24:12,-12.0718941,-77.0817338,-12.0718203333333,-77.0817588333333,8.642342092606878
15:24:58,15:24:55,-12.0719857,-77.0817601,-12.0719541666666,-77.0817961666666,5.260658732468848
15:25:27,15:25:34,-12.0720525,-77.081763,-12.0720173333333,-77.0817631666666,3.910396918800548
15:26:16,15:26:13,-12.0721251,-77.0818353,-12.0721066666666,-77.0817511666666,9.375117794316303
15:26:49,15:26:56,-12.0721549,-77.081794,-12.0721568333333,-77.0817971666666,0.4059289635866745
15:27:29,15:27:35,-12.0722163,-77.0818652,-12.0722043333333,-77.0818904999999,3.0559245042680265
15:28:10,15:28:15,-12.0722515,-77.08182,-12.0722236666666,-77.0818643333333,5.72860824048961
15:28:55,15:28:55,-12.0723029,-77.0818918,-12.0722999999999,-77.0818468333333,4.9001079327748425
15:30:07,15:30:17,-12.0724356,-77.0818951,-12.0723985,-77.0818719999999,4.829852986463173
15:30:54,15:30:57,-12.072413,-77.0819324,-12.0723453333333,-77.0819114999999,7.859900996978403
15:31:26,15:31:39,-12.0723733,-77.0819816,-12.0723191666666,-77.0819695,6.161466783266637
15:32:12,15:32:18,-12.0723657,-77.0821116,-12.0722991666666,-77.0821253333333,7.5473747290100155
15:33:34,15:33:40,-12.0722252,-77.0821627,-12.0721751666666,-77.0821918333333,6.402124660863664
15:36:19,15:36:19,-12.0722942,-77.0822841,-12.0722198333333,-77.0823048333333,8.571007763173315
15:39:19,15:39:44,-12.0716534,-77.0820576,-12.0715683333333,-77.08209,10.093770758875545
15:40:22,15:40:25,-12.0717168,-77.0821055,-12.0717226666666,-77.0820215,9.157092007486943
15:41:36,15:41:51,-12.071769,-77.0821059,-12.0717581666666,-77.0820253333333,8.842929996635569
15:42:18,15:42:32,-12.0717896,-77.0820981,-12.0717286666666,-77.0821176666666,7.101674663930645
15:43:03,15:43:14,-12.0718163,-77.0821421,-12.0717523333333,-77.0821728333333,7.858704688597011
15:43:49,15:43:56,-12.0718548,-77.0821255,-12.0717861666666,-77.0821768333333,9.455093390575
15:44:31,15:44:37,-12.0719248,-77.082164,-12.0719198333333,-77.0820756666666,9.62087247880765
15:47:22,15:47:23,-12.0720622,-77.0821078,-12.0719905,-77.0821416666666,8.782057775255916
15:47:58,15:48:02,-12.0719865,-77.0820835,-12.071906,-77.0820973333333,9.076694867964271
15:49:13,15:49:22,-12.0720102,-77.0819786,-12.0719915,-77.081996,2.811291274581258
15:50:37,15:50:43,-12.0719613,-77.0818073,-12.0718833333333,-77.0817731666666,9.430565962770238
15:51:15,15:51:23,-12.0719364,-77.0818869,-12.0718726666666,-77.0818539999999,7.938573389204253
15:52:35,15:52:42,-12.0718759,-77.0820708,-12.0717978333333,-77.0820253333333,9.989739384419376
15:54:03,15:54:02,-12.0718429,-77.0819507,-12.071807,-77.0819601666666,4.122480519695105
15:54:41,15:54:42,-12.0718667,-77.0818736,-12.0718008333333,-77.0818978333333,7.783634151009396
15:58:40,15:58:40,-12.0716645,-77.0819881,-12.0716751666666,-77.0820443333333,6.228563182191883
16:00:58,16:00:45,-12.0716902,-77.0816893,-12.0716668333333,-77.0817133333333,3.685133695745161
