Indice,Fecha de registro,Hora,Latitud EC,Longitud EC,Altitud EC,Latitud EBP,Longitud EBP,Fecha de registro EBP
23,2026-03-22 10:37:16,10:37:16,-12.20418167,-76.86683167,112.9,-12.204142166666669,-76.86683666666666,2026-03-22 10:37:16
66,2026-03-22 10:37:59,10:37:59,-12.20428167,-76.866945,111.6,-12.204203666666668,-76.86694583333333,2026-03-22 10:37:59
114,2026-03-22 10:38:47,10:38:47,-12.20413333,-76.866765,108.2,-12.2041,-76.86678566666666,2026-03-22 10:38:47
157,2026-03-22 10:39:30,10:39:30,-12.20419667,-76.86698167,110.7,-12.204135,-76.86698516666668,2026-03-22 10:39:30
203,2026-03-22 10:40:16,10:40:16,-12.20434833,-76.86686167,111.9,-12.204259833333333,-76.86685716666665,2026-03-22 10:40:16
247,2026-03-22 10:41:00,10:41:00,-12.20413167,-76.86678667,111.3,-12.204078499999998,-76.86682816666666,2026-03-22 10:41:00
290,2026-03-22 10:41:43,10:41:43,-12.20420833,-76.86698167,111.7,-12.204115833333333,-76.86697816666667,2026-03-22 10:41:43
331,2026-03-22 10:42:24,10:42:24,-12.20433167,-76.86684167,109.5,-12.2042375,-76.86682966666667,2026-03-22 10:42:24
375,2026-03-22 10:43:08,10:43:08,-12.20411333,-76.86683167,107.8,-12.204048499999999,-76.86683516666668,2026-03-22 10:43:08
417,2026-03-22 10:43:50,10:43:50,-12.204145,-76.86700667,109.5,-12.204104,-76.86701899999998,2026-03-22 10:43:50
462,2026-03-22 10:44:35,10:44:35,-12.20422,-76.86688667,109.3,-12.204133666666667,-76.86688649999999,2026-03-22 10:44:35
502,2026-03-22 10:45:15,10:45:15,-12.204145,-76.86687167,112.4,-12.204052333333333,-76.86688633333334,2026-03-22 10:45:15
548,2026-03-22 10:46:01,10:46:01,-12.20426333,-76.86675833,111.2,-12.204225666666664,-76.86677849999998,2026-03-22 10:46:01
591,2026-03-22 10:46:44,10:46:44,-12.20418167,-76.866825,110.6,-12.2041565,-76.86687233333333,2026-03-22 10:46:44
