Indice,Fecha de registro,Hora,Latitud EC,Longitud EC,Altitud,Latitud EBP,Longitud EBP,Fecha de registro EBP,x_err_m,y_err_m,error_total_m
3,2026-03-22 13:56:12,13:56:12,-12.20449833,-76.86695167,118.5,-12.204573999999997,-76.86692066666667,2026-03-22 13:56:12,-3.373289542213594,8.423584399725002,9.073910759694412
46,2026-03-22 13:56:55,13:56:55,-12.20446,-76.86707167,118.4,-12.204603999999998,-76.86713166666667,2026-03-22 13:56:55,6.527882858552372,16.030079999867723,17.308284704647686
119,2026-03-22 13:58:08,13:58:08,-12.20444667,-76.86698833,118.4,-12.204578833333334,-76.86701950000001,2026-03-22 13:58:08,3.391423559100501,14.712422266863356,15.098248995023186
177,2026-03-22 13:59:06,13:59:06,-12.20452667,-76.866925,116.8,-12.204629833333335,-76.86695983333333,2026-03-22 13:59:06,3.790009215485248,11.484142266906474,12.093373948572452
224,2026-03-22 13:59:53,13:59:53,-12.204465,-76.86691333,119.0,-12.204519,-76.86689733333333,2026-03-22 13:59:53,-1.740502797781964,6.011279999851524,6.258181622939829
271,2026-03-22 14:00:40,14:00:40,-12.204455,-76.86707167,115.5,-12.204556166666668,-76.867094,2026-03-22 14:00:40,2.429595380728883,11.261873333572723,11.520968913051346
319,2026-03-22 14:01:28,14:01:28,-12.20446,-76.86695,117.5,-12.204497,-76.86694116666666,2026-03-22 14:01:28,-0.9611028161499429,4.118840000081363,4.229487152064845
365,2026-03-22 14:02:14,14:02:14,-12.204445,-76.86703167,115.6,-12.204499666666665,-76.86699166666666,2026-03-22 14:02:14,-4.3525263737042446,6.085493333195231,7.481825642325182
411,2026-03-22 14:03:00,14:03:00,-12.20444833,-76.86697833,115.5,-12.204461499999997,-76.86697050000001,2026-03-22 14:03:00,-0.8519360414486556,1.4660843996917805,1.6956410250223406
453,2026-03-22 14:03:42,14:03:42,-12.204465,-76.86699333,117.0,-12.204417333333332,-76.86699133333333,2026-03-22 14:03:42,-0.21724550452386207,-5.3062533335806705,5.310698640421221
497,2026-03-22 14:04:26,14:04:26,-12.20445667,-76.86700833,118.0,-12.204427666666668,-76.86696816666667,2026-03-22 14:04:26,-4.369935028369477,-3.228651066654251,5.4332789236683015
541,2026-03-22 14:05:10,14:05:10,-12.20447167,-76.86694667,116.7,-12.204463666666669,-76.866939,2026-03-22 14:05:10,-0.8345273883296227,-0.8909310664263614,1.2207350764993503
584,2026-03-22 14:05:53,14:05:53,-12.20445,-76.86706167,115.4,-12.204497666666668,-76.86703666666668,2026-03-22 14:05:53,-2.7204649868556934,5.3062533335806705,5.962990372694201
626,2026-03-22 14:06:35,14:06:35,-12.204515,-76.86692667,114.7,-12.204510833333332,-76.86695316666666,2026-03-22 14:06:35,2.8829457657927917,-0.46383333354647505,2.9200201454461614
