Hora,Latitud EC,Longitud EC,Latitud CA73B3,Longitud CA73B3
18:22:53,-12.20426667,-76.86699167,-12.204208500000002,-76.86718666666667
18:23:45,-12.20416167,-76.86697833,-12.204096000000002,-76.86704533333332
18:24:41,-12.20419833,-76.86688167,-12.204136333333334,-76.86700283333333
18:25:33,-12.20415,-76.86696667,-12.204089666666668,-76.867052
18:26:31,-12.20418833,-76.86696667,-12.204135666666666,-76.86705900000001
18:27:23,-12.20418833,-76.86696667,-12.204141,-76.86705383333334
18:28:14,-12.20422333,-76.86696333,-12.204166000000003,-76.86706483333334
18:29:08,-12.20422333,-76.86696333,-12.204214833333332,-76.86704233333333
18:29:56,-12.20418167,-76.86697167,-12.204162,-76.86706783333334
18:30:47,-12.204325,-76.86686,-12.204246499999998,-76.86694049999998
18:32:00,-12.204155,-76.8669,-12.204158666666668,-76.86688683333333
18:33:07,-12.204235,-76.86698667,-12.204271333333335,-76.86699933333333
18:33:50,-12.204235,-76.86698667,-12.204222333333334,-76.86698316666666
